Sample	Taxonomy	Count
Fluosample1	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	27165
Fluosample1	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Ochromonadales(0.97),s:Ochromonas(0.97)	22885
Fluosample1	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(1.00),f:Phragmoplastophyta(1.00),g:Streptophyta(1.00),s:Embryophyta(1.00)	3990
Fluosample1	k:Eukaryota(1.00),p:Cryptophyceae(0.57),c:Cryptomonadales(0.57),o:Rhodomonas(0.57),f:Rhodomonas sp. CCMP743(0.57)	1529
Fluosample1	k:Eukaryota(1.00),p:SAR(0.86),c:Stramenopiles(0.86),o:Ochrophyta(0.82),f:Chrysophyceae(0.82),g:Ochromonadales(0.82),s:Ochromonas(0.82)	918
Fluosample1	k:Eukaryota(1.00),p:Archaeplastida(0.56),c:Chloroplastida(0.56),o:Charophyta(0.56),f:Phragmoplastophyta(0.56),g:Streptophyta(0.56),s:Embryophyta(0.56)	366
Fluosample1	k:Eukaryota(1.00),p:Archaeplastida(0.15),c:Chloroplastida(0.15),o:Charophyta(0.15),f:Phragmoplastophyta(0.15),g:Streptophyta(0.15),s:Embryophyta(0.15)	350
Fluosample1	k:Eukaryota(1.00),p:Archaeplastida(0.95),c:Chloroplastida(0.95),o:Charophyta(0.95),f:Phragmoplastophyta(0.95),g:Streptophyta(0.95),s:Embryophyta(0.95)	163
Fluosample1	k:Eukaryota(1.00),p:SAR(0.85),c:Stramenopiles(0.85),o:Ochrophyta(0.85),f:Chrysophyceae(0.85),g:Ochromonadales(0.82),s:Ochromonas(0.82)	108
Fluosample1	k:Eukaryota(1.00),p:SAR(0.82),c:Stramenopiles(0.81),o:Ochrophyta(0.78),f:Chrysophyceae(0.76),g:Ochromonadales(0.76),s:Ochromonas(0.76)	5
Fluosample1	k:Eukaryota(1.00),p:Discoba(1.00),c:Jakobida(1.00),o:uncultured dinoflagellate(1.00)	4
Fluosample1	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Ochromonadales(1.00),s:Ochromonas(1.00)	2
Fluosample1	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Holozoa(1.00),g:Choanozoa(1.00),s:Metazoa(1.00)	1
Fluosample2	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	32810
Fluosample2	k:Eukaryota(1.00),p:Discoba(1.00),c:Jakobida(1.00),o:uncultured dinoflagellate(1.00)	29416
Fluosample2	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(1.00),f:Phragmoplastophyta(1.00),g:Streptophyta(1.00),s:Embryophyta(1.00)	4831
Fluosample2	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Ochromonadales(0.97),s:Ochromonas(0.97)	4379
